Date,Open,High,Low,Close,Adj Close,Volume
2021-06-11,37.810001,38.790001,37.770000,38.240002,37.959637,117600
2021-06-14,38.270000,38.689999,37.700001,37.740002,37.463303,65600
2021-06-15,37.970001,38.549999,37.740002,38.209999,37.929855,61700
2021-06-16,37.959999,38.450001,37.959999,38.119999,37.840515,90600
2021-06-17,38.099998,38.410000,37.540001,37.680000,37.403740,68300
2021-06-18,37.230000,37.250000,36.770000,37.000000,36.728725,139600
2021-06-21,37.340000,37.480000,36.910000,37.400002,37.125797,77200
2021-06-22,37.250000,37.570000,36.830002,36.889999,36.619534,110000
2021-06-23,37.009998,37.009998,36.369999,36.480000,36.212540,129000
2021-06-24,36.619999,37.410000,36.419998,37.310001,37.036457,57400
2021-06-25,37.150002,37.619999,36.799999,36.799999,36.530193,345800
2021-06-28,36.669998,36.910000,36.049999,36.869999,36.599678,114700
2021-06-29,36.840000,37.240002,36.709999,36.779999,36.510338,96500
2021-06-30,36.599998,37.369999,36.529999,36.970001,36.698948,79700
2021-07-01,37.070000,37.270000,36.500000,36.570000,36.301880,133400
2021-07-02,36.799999,36.799999,36.250000,36.619999,36.351513,65300
2021-07-06,36.750000,36.750000,35.639999,35.779999,35.517670,53700
2021-07-07,35.700001,35.830002,35.189999,35.299999,35.041191,85700
2021-07-08,34.660000,35.220001,34.169998,34.610001,34.356251,76200
2021-07-09,34.950001,35.130001,34.700001,34.830002,34.574638,43200
2021-07-12,34.720001,35.939999,34.630001,35.750000,35.487896,114500
2021-07-13,35.430000,35.720001,35.049999,35.330002,35.070969,48600
2021-07-14,35.560001,35.560001,35.070000,35.180000,34.922073,104900
2021-07-15,34.900002,35.599998,34.799999,35.240002,34.981636,82900
2021-07-16,35.529999,35.689999,34.980000,34.980000,34.723537,41000
2021-07-19,34.509998,35.139999,34.099998,35.080002,34.822803,109400
2021-07-20,35.369999,36.369999,35.169998,35.900002,35.636795,78400
2021-07-21,36.259998,36.639999,35.849998,35.950001,35.686428,87100
2021-07-22,35.840000,35.840000,35.360001,35.500000,35.239727,29600
2021-07-23,35.730000,35.939999,35.240002,35.840000,35.577232,36700
2021-07-26,36.049999,36.580002,36.049999,36.540001,36.272102,102600
2021-07-27,36.250000,36.540001,35.889999,36.500000,36.232391,46400
2021-07-28,36.919998,37.180000,35.180000,36.250000,35.984226,121900
2021-07-29,36.700001,37.860001,36.509998,37.150002,36.877632,116700
2021-07-30,36.869999,37.500000,36.830002,37.180000,36.907410,87700
2021-08-02,37.490002,37.689999,36.630001,36.730000,36.460705,63000
2021-08-03,36.860001,37.209999,36.389999,36.990002,36.718800,88500
2021-08-04,36.880001,37.310001,36.650002,36.930000,36.659241,64100
2021-08-05,37.060001,37.200001,36.580002,36.599998,36.331661,55400
2021-08-06,36.770000,37.330002,36.730000,37.009998,36.839306,69100
2021-08-09,37.040001,37.470001,36.759998,37.259998,37.088154,54100
2021-08-10,37.270000,37.990002,37.270000,37.919998,37.745110,76000
2021-08-11,38.049999,38.759998,37.810001,38.700001,38.521515,66700
2021-08-12,38.910000,39.880001,38.860001,39.480000,39.297913,262500
2021-08-13,39.450001,39.919998,38.669998,38.869999,38.690727,108100
2021-08-16,38.830002,40.020000,38.830002,39.480000,39.297913,106100
2021-08-17,39.400002,39.680000,38.750000,38.939999,38.760406,118200
2021-08-18,38.860001,40.830002,38.709999,39.470001,39.287960,125600
2021-08-19,39.369999,39.590000,39.090000,39.299999,39.118744,102200
2021-08-20,39.270000,40.169998,39.080002,40.110001,39.925011,181300
2021-08-23,40.259998,41.709999,40.200001,41.330002,41.139385,115000
2021-08-24,41.299999,42.580002,41.299999,42.369999,42.174583,152900
2021-08-25,42.529999,44.119999,42.529999,43.540001,43.339195,167400
2021-08-26,43.540001,45.590000,43.540001,44.779999,44.573471,261500
2021-08-27,44.840000,45.889999,44.840000,45.400002,45.190617,208600
2021-08-30,45.669998,45.830002,45.099998,45.290001,45.081120,230000
2021-08-31,45.200001,46.500000,44.889999,46.230000,46.016785,179500
2021-09-01,46.169998,47.680000,45.939999,47.200001,46.982311,211500
2021-09-02,47.639999,48.610001,47.580002,48.180000,47.957790,206100
2021-09-03,48.450001,48.520000,47.500000,48.230000,48.007561,139700
2021-09-07,48.029999,48.080002,46.290001,46.709999,46.494572,136700
2021-09-08,46.470001,47.139999,46.400002,46.610001,46.395031,126500
2021-09-09,46.639999,47.840000,46.299999,46.299999,46.086460,174400
2021-09-10,46.369999,46.439999,45.770000,46.099998,45.887383,109500
2021-09-13,46.099998,46.230000,45.299999,45.580002,45.369785,148000
2021-09-14,45.500000,45.529999,45.009998,45.169998,44.961670,164700
2021-09-15,45.020000,45.700001,45.020000,45.270000,45.061211,136000
2021-09-16,45.700001,46.180000,45.590000,46.000000,45.787846,171900
2021-09-17,46.119999,46.200001,45.450001,45.759998,45.548950,281500
2021-09-20,44.970001,45.959999,44.630001,44.910000,44.702869,216900
2021-09-21,45.000000,45.250000,42.560001,42.650002,42.453297,256600
2021-09-22,42.860001,43.959999,42.450001,43.419998,43.219742,180600
2021-09-23,43.599998,44.169998,43.500000,43.900002,43.697529,168400
2021-09-24,43.759998,44.720001,43.500000,44.200001,43.996147,144300
2021-09-27,44.250000,45.330002,44.250000,44.950001,44.742687,151900
2021-09-28,45.040001,45.290001,44.410000,44.470001,44.264904,128000
2021-09-29,44.599998,45.070000,44.130001,44.779999,44.573471,179700
2021-09-30,44.980000,45.860001,44.480000,44.590000,44.384346,168800
2021-10-01,44.910000,45.410000,44.290001,45.160000,44.951717,84500
2021-10-04,45.150002,45.150002,44.450001,44.639999,44.434116,75200
2021-10-05,44.669998,45.549999,43.869999,45.020000,44.812366,131900
2021-10-06,44.529999,45.310001,44.150002,45.169998,44.961670,69500
2021-10-07,45.389999,45.959999,45.279999,45.669998,45.459366,46300
2021-10-08,45.730000,45.970001,45.400002,45.660000,45.449413,32100
2021-10-11,45.660000,46.150002,45.389999,45.570000,45.359829,32200
2021-10-12,45.779999,46.049999,45.209999,45.619999,45.409595,143900
2021-10-13,45.810001,45.919998,45.169998,45.250000,45.041302,27900
2021-10-14,45.560001,45.980000,44.849998,44.950001,44.742687,81000
2021-10-15,45.610001,45.630001,44.160000,44.160000,43.956333,110500
2021-10-18,44.150002,45.310001,44.000000,45.020000,44.812366,111100
2021-10-19,45.279999,45.279999,44.049999,44.150002,43.946381,43200
2021-10-20,43.950001,44.630001,43.810001,43.990002,43.787117,39600
2021-10-21,44.150002,44.540001,44.080002,44.240002,44.035961,91100
2021-10-22,44.400002,44.880001,43.910000,44.230000,44.026005,110900
2021-10-25,44.540001,44.959999,43.380001,43.970001,43.767208,105300
2021-10-26,43.990002,44.740002,43.740002,44.369999,44.165363,79700
2021-10-27,43.930000,44.459999,43.779999,43.959999,43.757252,93100
2021-10-28,45.700001,50.669998,45.700001,50.220001,49.988384,309000
2021-10-29,50.869999,52.439999,50.500000,51.450001,51.212711,198500
2021-11-01,51.509998,52.000000,49.590000,50.779999,50.545799,177600
2021-11-02,50.779999,50.779999,48.480000,48.619999,48.395763,152300
2021-11-03,48.369999,49.110001,48.220001,48.299999,48.077236,83200
2021-11-04,48.389999,48.720001,48.009998,48.439999,48.216591,71100
2021-11-05,48.970001,50.110001,48.910000,49.000000,48.774006,192600
2021-11-08,49.369999,50.639999,49.060001,49.869999,49.754734,175100
2021-11-09,50.049999,50.790001,49.400002,49.490002,49.375614,197100
2021-11-10,49.360001,50.070000,48.509998,48.779999,48.667255,134900
2021-11-11,48.860001,50.639999,48.849998,49.970001,49.854507,89900
2021-11-12,49.619999,50.730000,49.619999,50.419998,50.303463,86000
2021-11-15,50.450001,51.360001,50.189999,50.470001,50.353352,168500
2021-11-16,50.540001,51.700001,50.349998,51.570000,51.450806,115700
2021-11-17,51.310001,52.259998,51.209999,51.860001,51.740139,228600
2021-11-18,51.990002,52.599998,51.360001,51.740002,51.620415,127200
2021-11-19,51.480000,52.759998,51.480000,51.759998,51.640366,206400
2021-11-22,51.930000,53.320000,51.540001,52.639999,52.518333,210300
2021-11-23,52.939999,54.470001,52.939999,54.119999,53.994911,237600
2021-11-24,54.029999,55.020000,53.830002,53.860001,53.735516,175800
2021-11-26,52.900002,53.180000,51.919998,52.950001,52.827618,106400
2021-11-29,53.130001,53.259998,51.020000,51.150002,51.031780,160300
2021-11-30,51.000000,52.599998,50.810001,51.740002,51.620415,325400
2021-12-01,52.669998,53.430000,52.000000,52.070000,51.949650,200100
2021-12-02,52.080002,54.299999,52.040001,53.880001,53.755470,168100
2021-12-03,53.959999,54.029999,52.790001,53.259998,53.136898,179700
2021-12-06,53.580002,54.730000,52.980000,54.509998,54.384010,159200
2021-12-07,54.959999,56.560001,54.950001,55.459999,55.331814,186500
2021-12-08,55.830002,57.869999,55.619999,57.540001,57.407009,233500
2021-12-09,57.080002,58.330002,55.330002,55.439999,55.311859,215400
2021-12-10,55.299999,56.820000,55.299999,56.230000,56.100037,152000
2021-12-13,55.950001,57.270000,55.430000,56.160000,56.030197,202200
2021-12-14,55.990002,57.540001,55.520000,55.630001,55.501423,268900
2021-12-15,55.720001,58.209999,55.599998,57.529999,57.397030,276800
2021-12-16,57.779999,58.689999,57.590000,58.330002,58.195183,503800
2021-12-17,58.070000,60.110001,57.560001,59.419998,59.282661,483000
2021-12-20,59.259998,59.549999,56.000000,59.240002,59.103081,336000
2021-12-21,59.639999,60.970001,59.240002,60.889999,60.749264,190500
2021-12-22,60.880001,63.090000,60.880001,63.080002,62.934204,201500
2021-12-23,63.099998,63.900002,62.459999,62.660000,62.515175,255200
2021-12-27,63.090000,64.110001,62.099998,63.799999,63.652538,189400
2021-12-28,64.400002,66.290001,64.129997,64.989998,64.839790,142900
2021-12-29,65.199997,66.330002,64.830002,65.910004,65.757668,134300
2021-12-30,65.910004,66.330002,64.410004,64.489998,64.340942,129700
2021-12-31,64.870003,65.379997,64.419998,64.440002,64.291061,204200
2022-01-03,64.639999,65.160004,61.049999,61.740002,61.597301,180800
2022-01-04,61.959999,62.990002,61.389999,61.500000,61.357857,146400
2022-01-05,61.470001,61.650002,58.810001,59.119999,58.983356,230900
2022-01-06,58.919998,59.869999,58.160000,59.470001,59.332550,115900
2022-01-07,59.200001,59.459999,57.759998,57.970001,57.836018,108200
2022-01-10,57.430000,57.570000,56.389999,57.400002,57.267334,122900
2022-01-11,57.360001,57.360001,56.340000,57.320000,57.187515,117100
2022-01-12,57.330002,58.360001,56.990002,57.830002,57.696339,210500
2022-01-13,58.279999,58.470001,57.349998,58.189999,58.055504,81100
2022-01-14,57.750000,58.310001,57.310001,58.099998,57.965714,139300
2022-01-18,57.799999,57.799999,55.610001,55.720001,55.591217,122500
2022-01-19,56.049999,56.049999,54.630001,54.660000,54.533665,204300
2022-01-20,54.750000,55.220001,52.349998,52.480000,52.358704,214900
2022-01-21,52.450001,53.029999,51.509998,52.080002,51.959629,210300
2022-01-24,51.299999,53.209999,50.279999,52.830002,52.707897,138000
2022-01-25,52.180000,52.540001,50.849998,50.900002,50.782356,125100
2022-01-26,51.639999,52.340000,49.369999,49.919998,49.804619,141600
2022-01-27,50.049999,50.799999,47.880001,48.130001,48.018757,144200
2022-01-28,48.389999,48.759998,46.799999,48.750000,48.637325,149000
2022-01-31,48.520000,50.320000,48.419998,50.320000,50.203697,134900
2022-02-01,50.340000,50.779999,49.020000,49.830002,49.714828,92400
2022-02-02,50.130001,50.130001,48.560001,49.349998,49.235935,122000
2022-02-03,48.790001,49.740002,48.619999,48.889999,48.777000,82500
2022-02-04,48.369999,49.340000,47.180000,48.689999,48.689999,188300
2022-02-07,49.049999,50.660000,49.049999,50.070000,50.070000,230400
2022-02-08,50.130001,51.150002,50.029999,50.900002,50.900002,173600
2022-02-09,51.540001,52.369999,51.529999,52.290001,52.290001,221700
2022-02-10,51.720001,52.310001,51.029999,51.310001,51.310001,189700
2022-02-11,51.450001,51.939999,50.080002,50.509998,50.509998,93900
2022-02-14,50.599998,51.630001,50.400002,50.799999,50.799999,193000
2022-02-15,51.700001,52.099998,50.939999,51.610001,51.610001,113100
2022-02-16,51.590000,51.849998,50.580002,51.090000,51.090000,104900
2022-02-17,50.840000,50.840000,49.099998,49.320000,49.320000,110600
2022-02-18,49.080002,49.950001,48.669998,49.500000,49.500000,130500
2022-02-22,49.080002,50.540001,48.970001,49.490002,49.490002,107200
2022-02-23,50.099998,50.320000,49.049999,49.480000,49.480000,125300
2022-02-24,48.349998,49.709999,47.070000,48.980000,48.980000,189600
2022-02-25,49.310001,50.369999,47.529999,50.340000,50.340000,136900
2022-02-28,49.799999,50.520000,48.950001,49.209999,49.209999,122800
2022-03-01,49.470001,50.490002,48.889999,49.889999,49.889999,166200
2022-03-02,50.070000,51.700001,50.070000,50.810001,50.810001,117700
2022-03-03,50.840000,51.380001,50.000000,50.570000,50.570000,89900
2022-03-04,49.959999,51.509998,49.590000,51.209999,51.209999,117400
2022-03-07,51.119999,51.889999,50.029999,50.660000,50.660000,141500
2022-03-08,50.560001,51.910000,50.509998,50.680000,50.680000,154100
2022-03-09,51.290001,52.040001,50.200001,50.490002,50.490002,191300
2022-03-10,49.990002,51.840000,49.990002,51.639999,51.639999,107200
2022-03-11,51.849998,52.889999,51.049999,51.160000,51.160000,104700
2022-03-11,51.849998,52.888599,51.049999,51.160000,51.160000,103801
